,Date,Time,Open,High,Low,Close,Volume
493,2020-04-13,10:04:00,151.99,152.12,151.9,151.94,1253.16583
494,2020-04-13,10:05:00,151.94,151.94,151.77,151.88,640.72113
495,2020-04-13,10:06:00,151.88,151.93,151.81,151.85,405.00772
496,2020-04-13,10:07:00,151.85,152.14,151.82,152.14,866.65649
497,2020-04-13,10:08:00,152.13,152.18,152.07,152.16,509.38966
498,2020-04-13,10:09:00,152.13,152.39,152.13,152.35,297.37396
499,2020-04-13,10:10:00,152.29,152.3,151.95,151.99,1008.14156
500,2020-04-13,10:11:00,151.97,152.15,151.95,152.11,869.8627
501,2020-04-13,10:12:00,152.14,152.43,152.13,152.25,1660.3603
502,2020-04-13,10:13:00,152.25,152.29,152.17,152.17,689.37849
503,2020-04-13,10:14:00,152.23,152.25,152.08,152.1,406.45553
504,2020-04-13,10:15:00,152.09,152.13,152.0,152.09,192.92463
505,2020-04-13,10:16:00,152.07,152.09,151.92,151.97,424.98267
506,2020-04-13,10:17:00,151.97,152.17,151.96,151.99,736.8952
507,2020-04-13,10:18:00,151.99,152.03,151.81,151.85,537.38422
508,2020-04-13,10:19:00,151.85,151.94,151.83,151.92,523.9584
509,2020-04-13,10:20:00,151.92,152.2,151.9,152.2,541.20307
510,2020-04-13,10:21:00,152.22,152.34,152.22,152.31,395.72418
511,2020-04-13,10:22:00,152.31,152.32,152.15,152.27,69.35853
512,2020-04-13,10:23:00,152.26,152.26,152.09,152.11,381.34896
513,2020-04-13,10:24:00,152.12,152.14,151.94,151.94,340.82233
514,2020-04-13,10:25:00,151.94,152.17,151.94,152.17,1325.60451
515,2020-04-13,10:26:00,152.16,152.17,152.07,152.13,195.36112
516,2020-04-13,10:27:00,152.12,152.32,152.1,152.25,492.22037
517,2020-04-13,10:28:00,152.25,152.39,152.15,152.38,266.51273
518,2020-04-13,10:29:00,152.38,152.49,152.34,152.48,540.89571
519,2020-04-13,10:30:00,152.48,152.48,152.4,152.47,308.32748
520,2020-04-13,10:31:00,152.47,152.49,152.4,152.42,279.51721
521,2020-04-13,10:32:00,152.4,152.49,152.4,152.49,210.32997
522,2020-04-13,10:33:00,152.49,152.49,152.16,152.18,772.1402
523,2020-04-13,10:34:00,152.18,152.39,152.14,152.39,304.65066
524,2020-04-13,10:35:00,152.39,152.48,152.37,152.37,114.12041
525,2020-04-13,10:36:00,152.37,152.37,152.18,152.29,149.48414
526,2020-04-13,10:37:00,152.29,152.45,152.25,152.45,281.85339
527,2020-04-13,10:38:00,152.44,152.45,152.38,152.41,184.02618
528,2020-04-13,10:39:00,152.41,152.57,152.4,152.56,502.9328
529,2020-04-13,10:40:00,152.56,152.63,152.5,152.51,421.38777
530,2020-04-13,10:41:00,152.51,152.56,152.39,152.47,364.2257
531,2020-04-13,10:42:00,152.47,152.47,152.3,152.31,458.89735
532,2020-04-13,10:43:00,152.35,152.56,152.35,152.51,562.74776
533,2020-04-13,10:44:00,152.51,152.62,152.51,152.58,352.1052
534,2020-04-13,10:45:00,152.59,152.64,152.55,152.56,1300.7184
535,2020-04-13,10:46:00,152.57,152.65,152.51,152.53,121.09827
536,2020-04-13,10:47:00,152.56,152.57,152.47,152.5,357.13059
537,2020-04-13,10:48:00,152.5,152.5,152.46,152.49,253.85638
538,2020-04-13,10:49:00,152.48,152.64,152.46,152.6,883.62482
539,2020-04-13,10:50:00,152.59,152.61,152.52,152.56,215.60087
540,2020-04-13,10:51:00,152.59,152.6,152.44,152.47,381.73905
541,2020-04-13,10:52:00,152.47,152.48,152.25,152.39,284.23545
542,2020-04-13,10:53:00,152.4,152.54,152.4,152.49,140.41959
543,2020-04-13,10:54:00,152.5,152.66,152.48,152.66,429.83101
544,2020-04-13,10:55:00,152.65,152.85,152.62,152.84,1044.58834
545,2020-04-13,10:56:00,152.8,152.96,152.8,152.91,1551.06978
546,2020-04-13,10:57:00,152.92,153.23,152.89,153.22,1954.28249
547,2020-04-13,10:58:00,153.19,153.63,153.19,153.6,2150.55176
548,2020-04-13,10:59:00,153.62,153.68,153.35,153.52,1173.77417
549,2020-04-13,11:00:00,153.5,153.5,153.3,153.49,743.79125
